final_key,job_number,issuer_name,service,cusip6,mt_date,ml_date,record_date,mgmt_rec,proposal,proposal_type,director_number,director_name,Category,Subcategory,Mini_Category,Mini_Subcategory,final_Category,final_Subcategory
"2025-04-17||35952H||To approve the amendment and restatement of the FuelCell Energy, Inc. Fourth Amended and Restated 2018 Omnibus Incentive Plan.||-1||-1",P24866,"FUELCELL ENERGY, INC.",BD,35952H,4/17/2025,3/3/2025,2/12/2025,F,"To approve the amendment and restatement of the FuelCell Energy, Inc. Fourth Amended and Restated 2018 Omnibus Incentive Plan.",MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
2025-04-17||35952H||Election of Director to serve until the 2026 Annual Meeting: Donna Sims Wilson||-1||-1,P24866,"FUELCELL ENERGY, INC.",BD,35952H,4/17/2025,3/3/2025,2/12/2025,F,Election of Director to serve until the 2026 Annual Meeting: Donna Sims Wilson,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-03-17||36872P||To approve the Genasys Inc. 2025 Equity Incentive Plan.||-1||-1,P22767,GENASYS INC.,BD,36872P,3/17/2025,2/5/2025,1/21/2025,F,To approve the Genasys Inc. 2025 Equity Incentive Plan.,MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
2025-03-17||36872P||To consider an advisory vote on the compensation of our named executive officers.||-1||-1,P22767,GENASYS INC.,BD,36872P,3/17/2025,2/5/2025,1/21/2025,F,To consider an advisory vote on the compensation of our named executive officers.,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-02-10||38358M||Election of Director for the term of three years: Robert W. Barlow||-1||-1,P20760,"GOUVERNEUR BANCORP, INC.",BN,38358M,2/10/2025,1/9/2025,12/13/2024,F,Election of Director for the term of three years: Robert W. Barlow,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-02-10||38358M||Election of Director for the term of three years: David C. McClure||-1||-1,P20760,"GOUVERNEUR BANCORP, INC.",BN,38358M,2/10/2025,1/9/2025,12/13/2024,F,Election of Director for the term of three years: David C. McClure,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-02-10||38358M||The approval of the Gouverneur Bancorp, Inc. 2025 Equity Incentive Plan.||-1||-1",P20760,"GOUVERNEUR BANCORP, INC.",BN,38358M,2/10/2025,1/9/2025,12/13/2024,F,"The approval of the Gouverneur Bancorp, Inc. 2025 Equity Incentive Plan.",MG,-1,-1,Corporate Structure,Reorganization Plan,Compensation,Stock Option Plans,Compensation,Stock Option Plans
2025-02-10||38358M||Election of Director for the term of three years: Amy M. Rapholz||-1||-1,P20812,"GOUVERNEUR BANCORP, INC.",SH,38358M,2/10/2025,1/8/2025,12/13/2024,F,Election of Director for the term of three years: Amy M. Rapholz,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-04-17||395330||To grant discretionary authority to our board of directors to (i) amend our articles of incorporation to combine outstanding shares of our Common Stock into a lesser number of outstanding shares, or a ""reverse stock split,"" at a specific ratio within a range of (1-for-3)] to a maximum of a (1-for-22)], with the exact ratio to be determined by our board of directors in its sole discretion; and (ii) effect the reverse stock split, if at all, within one year of the date the proposal is approved by stockholders (the ""Reverse Stock Split Proposal"").||-1||-1",S10154,"GREENLANE HOLDINGS, INC.",BN,395330,4/17/2025,3/14/2025,2/21/2025,F,"To grant discretionary authority to our board of directors to (i) amend our articles of incorporation to combine outstanding shares of our Common Stock into a lesser number of outstanding shares, or a ""reverse stock split,"" at a specific ratio within a range of (1-for-3)] to a maximum of a (1-for-22)], with the exact ratio to be determined by our board of directors in its sole discretion; and (ii) effect the reverse stock split, if at all, within one year of the date the proposal is approved by stockholders (the ""Reverse Stock Split Proposal"").",MG,-1,-1,Shareholder Equity,Financial Statements,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-04-17||395330||To authorize, for purposes of complying with Nasdaq listing rule 5635(d), the issuance of Warrants, shares of Common Stock underlying the Warrants and certain provisions of the Warrants, issued in connection with an offering and sale of securities of the Company that was consummated on February 19, 2025 (the ""Issuance Proposal"").||-1||-1",S10154,"GREENLANE HOLDINGS, INC.",BN,395330,4/17/2025,3/14/2025,2/21/2025,F,"To authorize, for purposes of complying with Nasdaq listing rule 5635(d), the issuance of Warrants, shares of Common Stock underlying the Warrants and certain provisions of the Warrants, issued in connection with an offering and sale of securities of the Company that was consummated on February 19, 2025 (the ""Issuance Proposal"").",MG,-1,-1,Corporate Actions,Spin Off,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Warrants/Bonds/Notes
"2024-12-31||395330||To approve, in accordance with Nasdaq listing rule 5635(d), the amendment of the 2024 August Warrant to purchase common stock in connection with an offering, and sale of securities of the Company that was consummated on August 13, 2024, to decrease the floor price provision in the event that the Company effects a Reverse Stock Split of its common stock in the future (the ""Reverse Split Floor Price Decrease Proposal"").||-1||-1",P21369,"GREENLANE HOLDINGS, INC.",BN,395330,12/31/2024,12/10/2024,11/25/2024,F,"To approve, in accordance with Nasdaq listing rule 5635(d), the amendment of the 2024 August Warrant to purchase common stock in connection with an offering, and sale of securities of the Company that was consummated on August 13, 2024, to decrease the floor price provision in the event that the Company effects a Reverse Stock Split of its common stock in the future (the ""Reverse Split Floor Price Decrease Proposal"").",MG,-1,-1,Corporate Actions,Spin Off,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-02-11||3622AW||To approve the adjournment of the Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the amendment to the Company's Amended and Restated Certificate of Incorporation to effect the Reverse Stock Split.||-1||-1",S05943,GRI BIO INC,BD,3622AW,2/11/2025,1/24/2025,1/6/2025,F,"To approve the adjournment of the Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the amendment to the Company's Amended and Restated Certificate of Incorporation to effect the Reverse Stock Split.",MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-02-11||3622AW||To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect a reverse stock split of Company common stock by a ratio of not less than one-for-two and not more than one-for-23 (the ""Reverse Stock Split""), with the exact ratio to be set within this range by our board of directors in its sole discretion (without reducing the authorized number of shares of Company common stock).||-1||-1",S05943,GRI BIO INC,BD,3622AW,2/11/2025,1/24/2025,1/6/2025,F,"To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect a reverse stock split of Company common stock by a ratio of not less than one-for-two and not more than one-for-23 (the ""Reverse Stock Split""), with the exact ratio to be set within this range by our board of directors in its sole discretion (without reducing the authorized number of shares of Company common stock).",MG,-1,-1,,,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
2025-03-14||422806||Election of Director: Mark H. Hildebrandt||-1||-1,P23202,HEICO CORPORATION,BN,422806,3/14/2025,2/6/2025,1/17/2025,F,Election of Director: Mark H. Hildebrandt,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-03-10||426897||Proposal to approve, on an advisory basis, the compensation of the Company's named executive officers.||-1||-1",P25298,"HEPION PHARMACEUTICALS, INC.",BN,426897,3/10/2025,2/19/2025,1/17/2025,F,"Proposal to approve, on an advisory basis, the compensation of the Company's named executive officers.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-03-10||426897||Proposal to approve an amendment to the Company's Certificate of Incorporation, as amended (the ""Certificate of Incorporation"") to effect a reverse stock split of the Company's common stock at a ratio of between 1-for-10 and 1-for-50, with such ratio to be determined at the sole discretion of the board of directors of the Company and with such Reverse Stock Split to be effected at such time and date, if at all, as determined by the Board in its sole discretion.||-1||-1",P25298,"HEPION PHARMACEUTICALS, INC.",BN,426897,3/10/2025,2/19/2025,1/17/2025,F,"Proposal to approve an amendment to the Company's Certificate of Incorporation, as amended (the ""Certificate of Incorporation"") to effect a reverse stock split of the Company's common stock at a ratio of between 1-for-10 and 1-for-50, with such ratio to be determined at the sole discretion of the board of directors of the Company and with such Reverse Stock Split to be effected at such time and date, if at all, as determined by the Board in its sole discretion.",MG,-1,-1,,,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-03-10||426897||Election of Director: Kaouthar Lbiati, M.D.||-1||-1",P25298,"HEPION PHARMACEUTICALS, INC.",BN,426897,3/10/2025,2/19/2025,1/17/2025,F,"Election of Director: Kaouthar Lbiati, M.D.",MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2024-12-12||426897||Proposal to approve and adopt the Agreement and Plan of Merger (""Merger Agreement""), dated July 19, 2024, by and among Hepion, Pharma Two B Ltd., a company organized under the laws of the State of Israel (""Pharma Two B"") and Pearl Merger Sub Inc., a Delaware corporation and indirect wholly-owned subsidiary of Pharma Two B.||-1||-1",S01652,"HEPION PHARMACEUTICALS, INC.",BN,426897,12/12/2024,11/13/2024,11/6/2024,F,"Proposal to approve and adopt the Agreement and Plan of Merger (""Merger Agreement""), dated July 19, 2024, by and among Hepion, Pharma Two B Ltd., a company organized under the laws of the State of Israel (""Pharma Two B"") and Pearl Merger Sub Inc., a Delaware corporation and indirect wholly-owned subsidiary of Pharma Two B.",MG,-1,-1,,,Corporate Actions,Merger Plan,Corporate Actions,Merger Plan
2025-03-10||426897||Election of Director: John P. Brancaccio||-1||-1,P25298,"HEPION PHARMACEUTICALS, INC.",BN,426897,3/10/2025,2/19/2025,1/17/2025,F,Election of Director: John P. Brancaccio,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-03-10||426897||Election of Director: Michael Purcell||-1||-1,P25298,"HEPION PHARMACEUTICALS, INC.",BN,426897,3/10/2025,2/19/2025,1/17/2025,F,Election of Director: Michael Purcell,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-04-23||G4412G||Approve, on an advisory basis, the compensation of the Company's named executive officers.||-1||-1",P26520,HERBALIFE LTD.,BN,G4412G,4/23/2025,3/18/2025,2/25/2025,F,"Approve, on an advisory basis, the compensation of the Company's named executive officers.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-03-26||44967K||An amendment to the Company's Certificate of Incorporation, as amended from time to time, to increase the total number of shares of common stock authorized for issuance.||-1||-1",S08691,IMAC HOLDINGS INC,BN,44967K,3/26/2025,2/14/2025,1/27/2025,F,"An amendment to the Company's Certificate of Incorporation, as amended from time to time, to increase the total number of shares of common stock authorized for issuance.",MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Authorize Stock Increase
2025-04-17||45769N||Election of Director of the Company for a term of one year: Roger A. Carolin||-1||-1,P26121,"INNOVATIVE SOLUTIONS AND SUPPORT,INC.",BN,45769N,4/17/2025,3/14/2025,2/20/2025,F,Election of Director of the Company for a term of one year: Roger A. Carolin,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-04-17||45769N||Election of Director of the Company for a term of one year: Shahram Askarpour||-1||-1,P26121,"INNOVATIVE SOLUTIONS AND SUPPORT,INC.",BN,45769N,4/17/2025,3/14/2025,2/20/2025,F,Election of Director of the Company for a term of one year: Shahram Askarpour,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-04-17||45769N||Election of Director of the Company for a term of one year: Glen R. Bressner||-1||-1,P26121,"INNOVATIVE SOLUTIONS AND SUPPORT,INC.",BN,45769N,4/17/2025,3/14/2025,2/20/2025,F,Election of Director of the Company for a term of one year: Glen R. Bressner,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-04-17||45769N||Election of Director of the Company for a term of one year: Stephen L. Belland||-1||-1,P26121,"INNOVATIVE SOLUTIONS AND SUPPORT,INC.",BN,45769N,4/17/2025,3/14/2025,2/20/2025,F,Election of Director of the Company for a term of one year: Stephen L. Belland,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: John C. Plant||-1||-1,P21252,JABIL INC.,BN,466313,1/23/2025,12/17/2024,11/29/2024,F,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: John C. Plant,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Steven A. Raymund||-1||-1,P21252,JABIL INC.,BN,466313,1/23/2025,12/17/2024,11/29/2024,F,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Steven A. Raymund,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-02-21||47733C||To transact such further or other business as may properly come before the Meeting and any adjournment or postponement thereof.||-1||-1,P23138,JEWETT-CAMERON TRADING COMPANY LTD.,BN,47733C,2/21/2025,1/30/2025,1/17/2025,F,To transact such further or other business as may properly come before the Meeting and any adjournment or postponement thereof.,MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Shareholder Rights,Meeting Management,Shareholder Rights,Meeting Management
"2025-02-21||47733C||Appointment of Davidson & Company LLP, Chartered Professional Accountants as Auditors of the Company for the ensuing year and authorizing the Directors to fix their remuneration.||-1||-1",P23138,JEWETT-CAMERON TRADING COMPANY LTD.,BN,47733C,2/21/2025,1/30/2025,1/17/2025,F,"Appointment of Davidson & Company LLP, Chartered Professional Accountants as Auditors of the Company for the ensuing year and authorizing the Directors to fix their remuneration.",MG,-1,-1,Corporate Governance,Environmental,Corporate Governance,Audit Related,Corporate Governance,Audit Related
2025-05-01||516544||Election of Class I Director: Mr. Samuel Leno||-1||-1,P25626,"LANTHEUS HOLDINGS, INC.",BN,516544,5/1/2025,3/31/2025,3/3/2025,F,Election of Class I Director: Mr. Samuel Leno,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-05-02||518415||To approve on a non-binding, advisory basis, our Named Executive Officers' compensation.||-1||-1",P26926,LATTICE SEMICONDUCTOR CORPORATION,BN,518415,5/2/2025,3/25/2025,3/3/2025,F,"To approve on a non-binding, advisory basis, our Named Executive Officers' compensation.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-02-27||523768||Approve to amend the 2020 Long-Term Incentive Plan.||-1||-1,P21595,"LEE ENTERPRISES, INCORPORATED",SH,523768,2/27/2025,1/28/2025,12/31/2024,F,Approve to amend the 2020 Long-Term Incentive Plan.,MG,-1,-1,Compensation,Health,Compensation,Stock Option Plans,Compensation,Omnibus Stock Plan
2025-04-15||53115L||Approve an amendment to the Company's certificate of incorporation to delete the waiver of Section 203 of the Delaware General Corporation Law.||-1||-1,P25793,LIBERTY ENERGY INC.,BN,53115L,4/15/2025,3/13/2025,2/19/2025,F,Approve an amendment to the Company's certificate of incorporation to delete the waiver of Section 203 of the Delaware General Corporation Law.,MG,-1,-1,Corporate Governance,Investment Advisory Agreement,Corporate Structure,Miscellaneous Corporate Actions,Corporate Structure,Miscellaneous Corporate Actions
"2025-04-09||532746||To vote on an advisory resolution to approve the compensation of the Named Executive Officers as disclosed in this proxy statement (""Proposal 2"").||-1||-1",P25367,LIMONEIRA COMPANY,BN,532746,4/9/2025,3/4/2025,2/12/2025,F,"To vote on an advisory resolution to approve the compensation of the Named Executive Officers as disclosed in this proxy statement (""Proposal 2"").",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-03-27||67091J||To approve, for purposes of Rule 5635(d) of The Nasdaq Stock Market LLC, the issuance of 20% or more of the Company's outstanding shares of common stock, par value $0.0001 per share (""Common Stock""), upon exercise of the Company's Series C common stock purchase warrants and the Company's Series D common stock purchase warrants, dated February 18, 2025.||-1||-1",S10023,"LOGICMARK, INC.",BN,67091J,3/27/2025,3/14/2025,2/18/2025,F,"To approve, for purposes of Rule 5635(d) of The Nasdaq Stock Market LLC, the issuance of 20% or more of the Company's outstanding shares of common stock, par value $0.0001 per share (""Common Stock""), upon exercise of the Company's Series C common stock purchase warrants and the Company's Series D common stock purchase warrants, dated February 18, 2025.",MG,-1,-1,,,Corporate Structure,Investment Advisory Agreement,Shareholder Equity,Stock Issuance
"2025-04-30||56585A||Approval, on an advisory basis, of the company's named executive officer compensation.||-1||-1",P22201,MARATHON PETROLEUM CORPORATION,BN,56585A,4/30/2025,3/26/2025,3/3/2025,F,"Approval, on an advisory basis, of the company's named executive officer compensation.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-04-29||574795||Election of Director: Catherine Szyman||-1||-1,P24742,MASIMO CORPORATION,BN,574795,4/29/2025,4/4/2025,3/3/2025,F,Election of Director: Catherine Szyman,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-04-29||574795||An advisory vote to approve the compensation of our named executive officers.||-1||-1,P24742,MASIMO CORPORATION,BN,574795,4/29/2025,4/4/2025,3/3/2025,F,An advisory vote to approve the compensation of our named executive officers.,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-01-30||55279B||To approve, on an advisory basis, the compensation of our named executive officers as disclosed in the Proxy Statement.||-1||-1",P22004,"MEI PHARMA, INC.",BN,55279B,1/30/2025,12/30/2024,12/9/2024,F,"To approve, on an advisory basis, the compensation of our named executive officers as disclosed in the Proxy Statement.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-03-04||606710||Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Kimberly S. Stevenson||-1||-1,P22743,"MITEK SYSTEMS, INC.",BN,606710,3/4/2025,2/3/2025,1/17/2025,F,Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Kimberly S. Stevenson,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-03-04||606710||Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Rahul Gupta||-1||-1,P22743,"MITEK SYSTEMS, INC.",BN,606710,3/4/2025,2/3/2025,1/17/2025,F,Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Rahul Gupta,MG,-1,-1,Corporate Governance,Investment Advisory Agreement,Board of Directors,Elections,Board of Directors,Elections
2025-03-04||606710||Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: James D. Fay||-1||-1,P22743,"MITEK SYSTEMS, INC.",BN,606710,3/4/2025,2/3/2025,1/17/2025,F,Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: James D. Fay,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-03-04||606710||Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Susan Repo||-1||-1,P22743,"MITEK SYSTEMS, INC.",BN,606710,3/4/2025,2/3/2025,1/17/2025,F,Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Susan Repo,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-03-04||606710||To approve, on an advisory (non-binding) basis, the compensaiton of our named executive officers as presented in the Proxy Statement accompanying this notice.||-1||-1",P22743,"MITEK SYSTEMS, INC.",BN,606710,3/4/2025,2/3/2025,1/17/2025,F,"To approve, on an advisory (non-binding) basis, the compensaiton of our named executive officers as presented in the Proxy Statement accompanying this notice.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-03-04||606710||Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Scott Carter||-1||-1,P22743,"MITEK SYSTEMS, INC.",BN,606710,3/4/2025,2/3/2025,1/17/2025,F,Election of Director to serve until our 2026 annual meeting of stockholders and until their respective successors have been elected and qualified: Scott Carter,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-02-28||60785L||To approve an amendment to the Amended and Restated 2017 Equity Incentive Plan to increase by 3,000,000 the number of shares of common stock available for issuance.||-1||-1",P23302,MODULAR MEDICAL INC,BN,60785L,2/28/2025,2/3/2025,1/17/2025,F,"To approve an amendment to the Amended and Restated 2017 Equity Incentive Plan to increase by 3,000,000 the number of shares of common stock available for issuance.",MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
"2025-04-30||60855R||To consider and approve, on a non-binding, advisory basis, the compensation of our named executive officers.||-1||-1",P24787,"MOLINA HEALTHCARE, INC.",BD,60855R,4/30/2025,3/25/2025,3/7/2025,F,"To consider and approve, on a non-binding, advisory basis, the compensation of our named executive officers.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-04-25||62011B||Approval to adjourn the 2025 Annual Meeting to a later date, if necessary or appropriate, to permit further solicitation and vote of proxies in the event that there are insufficient votes for, or otherwise in connection with, the approval of Proposal No. 4.||-1||-1",P28868,MOTORSPORT GAMES INC.,BN,62011B,4/25/2025,3/31/2025,3/11/2025,F,"Approval to adjourn the 2025 Annual Meeting to a later date, if necessary or appropriate, to permit further solicitation and vote of proxies in the event that there are insufficient votes for, or otherwise in connection with, the approval of Proposal No. 4.",MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Shareholder Rights,Meeting Management,Shareholder Rights,Meeting Management
"2025-04-25||62011B||Approval of the exercise of warrants issued on July 29, 2024 to purchase up to an aggregate of 949,310 shares of Class A Common Stock under applicable rules and regulations of the Nasdaq Stock Market LLC.||-1||-1",P28868,MOTORSPORT GAMES INC.,BN,62011B,4/25/2025,3/31/2025,3/11/2025,F,"Approval of the exercise of warrants issued on July 29, 2024 to purchase up to an aggregate of 949,310 shares of Class A Common Stock under applicable rules and regulations of the Nasdaq Stock Market LLC.",MG,-1,-1,Shareholder Equity,,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Warrants/Bonds/Notes
"2025-04-25||62011B||Approval of an amendment to the Amended and Restated Motorsport Games Inc. 2021 Equity Incentive Plan to increase the number of shares of the Company's Class A common stock available for awards thereunder by 200,000 shares.||-1||-1",P28868,MOTORSPORT GAMES INC.,BN,62011B,4/25/2025,3/31/2025,3/11/2025,F,"Approval of an amendment to the Amended and Restated Motorsport Games Inc. 2021 Equity Incentive Plan to increase the number of shares of the Company's Class A common stock available for awards thereunder by 200,000 shares.",MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Shareholder Equity,Authorize Stock Increase
"2025-02-24||63008J||Approval, for purposes of complying with Nasdaq Listing Rule 5635(d), of the issuance of shares of the Company's common stock underlying certain warrants issued by the Company pursuant that certain Securities Exchange Agreement, dated January 7, 2025, upon exercise of such warrants in an amount equal to or in excess of 20% of the Company's common stock outstanding immediately prior to the execution of the Securities Exchange Agreement.||-1||-1",S08140,"NANOVIBRONIX, INC.",BN,63008J,2/24/2025,1/29/2025,1/17/2025,F,"Approval, for purposes of complying with Nasdaq Listing Rule 5635(d), of the issuance of shares of the Company's common stock underlying certain warrants issued by the Company pursuant that certain Securities Exchange Agreement, dated January 7, 2025, upon exercise of such warrants in an amount equal to or in excess of 20% of the Company's common stock outstanding immediately prior to the execution of the Securities Exchange Agreement.",MG,-1,-1,Shareholder Equity,Acquisition Agreement,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Warrants/Bonds/Notes
"2025-02-24||63008J||Approval of an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect, at the discretion of the Company's Board of Directors but prior to the one-year anniversary of the date on which the reverse stock split is approved by the Company's stockholders at the Special Meeting, a reverse stock split of all of the outstanding shares of the Company's common stock, at a ratio in the range of 1-for- 2 to 1-for-11, with such ratio to be determined by the Board of Directors in its discretion & included in a public announcement.||-1||-1",S08140,"NANOVIBRONIX, INC.",BN,63008J,2/24/2025,1/29/2025,1/17/2025,F,"Approval of an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect, at the discretion of the Company's Board of Directors but prior to the one-year anniversary of the date on which the reverse stock split is approved by the Company's stockholders at the Special Meeting, a reverse stock split of all of the outstanding shares of the Company's common stock, at a ratio in the range of 1-for- 2 to 1-for-11, with such ratio to be determined by the Board of Directors in its discretion & included in a public announcement.",MG,-1,-1,Corporate Actions,Miscellaneous Shareholder Rights,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-05-01||635309||To approve, on an advisory basis, our executive compensation||-1||-1",P26928,"NATIONAL CINEMEDIA, INC.",BN,635309,5/1/2025,3/24/2025,3/10/2025,F,"To approve, on an advisory basis, our executive compensation",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-01-15||63911H||To approve an amendment to our Second Amended and Restated Certificate of Incorporation.||-1||-1,S99556,"NAUTICUS ROBOTICS, INC.",BN,63911H,1/15/2025,11/29/2024,11/4/2024,F,To approve an amendment to our Second Amended and Restated Certificate of Incorporation.,MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Corporate Structure,Miscellaneous Corporate Actions
2025-05-02||65441V||Approval of the Third Amendment to the 2011 Stock incentive Plan||-1||-1,P26667,"NINE ENERGY SERVICE, INC.",BN,65441V,5/2/2025,3/21/2025,3/3/2025,F,Approval of the Third Amendment to the 2011 Stock incentive Plan,MG,-1,-1,Compensation,Health,Compensation,Stock Option Plans,Compensation,Omnibus Stock Plan
2025-04-22||669549||Election of Director: Ralph A. Matergia||-1||-1,P27193,NORWOOD FINANCIAL CORP.,BN,669549,4/22/2025,3/21/2025,3/4/2025,F,Election of Director: Ralph A. Matergia,MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
"2025-03-04||67401P||To authorize the Company, with the approval of the Board of Directors, to sell or otherwise issue shares of its common stock at a price below its then current net asset value per share, provided that the number of shares issued does not exceed 25% of its then outstanding common stock.||-1||-1",S03087,OAKTREE SPECIALTY LENDING CORPORATION,BN,67401P,3/4/2025,1/16/2025,1/3/2025,F,"To authorize the Company, with the approval of the Board of Directors, to sell or otherwise issue shares of its common stock at a price below its then current net asset value per share, provided that the number of shares issued does not exceed 25% of its then outstanding common stock.",MG,-1,-1,Shareholder Equity,,Shareholder Equity,Stock Issuance,Shareholder Equity,Stock Issuance
