left_issuer,left_proposal,left_identifier,right_issuer,right_proposal,right_identifier,confidence,reason,match_type
UNIFIRST CORPORATION,"Approval, on a non-binding, advisory basis, of the compensation of the Company's named executive officers as more fully described in the accompanying Proxy Statement.","2025-01-14||904708||Approval, on a non-binding, advisory basis, of the compensation of the Company's named executive officers as more fully described in the accompanying Proxy Statement.||-1||-1",Unifirst Corporation,,,0,unmatched_left,unmatched
UNIFIRST CORPORATION,Election of Class III Director to serve for a term of three years until the 2028 Annual Meeting of Shareholders and until their respective successors are duly elected and qualified: Cecilia McKenney,2025-01-14||904708||Election of Class III Director to serve for a term of three years until the 2028 Annual Meeting of Shareholders and until their respective successors are duly elected and qualified: Cecilia McKenney||-1||-1,Unifirst Corporation,,,0,unmatched_left,unmatched
UNIFIRST CORPORATION,Election of Class III Director to serve for a term of three years until the 2028 Annual Meeting of Shareholders and until their respective successors are duly elected and qualified: Cynthia Croatti,2025-01-14||904708||Election of Class III Director to serve for a term of three years until the 2028 Annual Meeting of Shareholders and until their respective successors are duly elected and qualified: Cynthia Croatti||-1||-1,Unifirst Corporation,,,0,unmatched_left,unmatched
UNIFIRST CORPORATION,"Ratification of appointment of Ernst & Young LLP as the Company's independent registered public accounting firm for the fiscal year ending August 30, 2025.","2025-01-14||904708||Ratification of appointment of Ernst & Young LLP as the Company's independent registered public accounting firm for the fiscal year ending August 30, 2025.||-1||-1",Unifirst Corporation,,,0,unmatched_left,unmatched
"BIONANO GENOMICS, INC.","To approve a series of alternate amendments to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect, at the option of our Board of Directors, a reverse split of our common stock at a ratio between 1-for-25 and 1-for-75, inclusive, as determined by our Board of Directors in its sole discretion and with such reverse stock split to be effected at such time and date, if at all, as determined by our board of directors in its sole discretion.","2025-01-15||09075F||To approve a series of alternate amendments to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect, at the option of our Board of Directors, a reverse split of our common stock at a ratio between 1-for-25 and 1-for-75, inclusive, as determined by our Board of Directors in its sole discretion and with such reverse stock split to be effected at such time and date, if at all, as determined by our board of directors in its sole discretion.||-1||-1",BioNano Genomics Inc,Reverse Stock Split,46165_2,0.9,"Both proposals involve a reverse stock split, making them highly relevant to the same corporate action.",gpt_matched
"BIONANO GENOMICS, INC.","To approve, for purposes of complying with Nasdaq Listing Rule 5635(d), the issuance of up to an aggregate of 19,762,226 shares of common stock upon the exercise of certain Series C warrants and Series D warrants.","2025-01-15||09075F||To approve, for purposes of complying with Nasdaq Listing Rule 5635(d), the issuance of up to an aggregate of 19,762,226 shares of common stock upon the exercise of certain Series C warrants and Series D warrants.||-1||-1",BioNano Genomics Inc,Issuance of Common Stock,46165_1,0.8,"Both proposals pertain to the issuance of common stock, specifically related to warrants and general stock issuance.",gpt_matched
"BIONANO GENOMICS, INC.",,,BioNano Genomics Inc,Advisory Vote on Executive Compensation,46165_2,0,unmatched_right,unmatched
"BIONANO GENOMICS, INC.",,,BioNano Genomics Inc,Elect Erik Holmlin,46165_1.01,0,unmatched_right,unmatched
"BIONANO GENOMICS, INC.",,,BioNano Genomics Inc,Elect David L. Barker,46165_1.02,0,unmatched_right,unmatched
"BIONANO GENOMICS, INC.",,,BioNano Genomics Inc,Issuance of Common Stock,46165_4,0,unmatched_right,unmatched
"NAUTICUS ROBOTICS, INC.",To approve an amendment to our Second Amended and Restated Certificate of Incorporation.,2025-01-15||63911H||To approve an amendment to our Second Amended and Restated Certificate of Incorporation.||-1||-1,"Nauticus Robotics, Inc.",Increase in Authorized Common Stock,53235_4,0.7,"Both proposals involve changes to the company's capital structure, with the left proposal amending the Certificate of Incorporation and the right proposal increasing authorized common stock.",gpt_matched
"NAUTICUS ROBOTICS, INC.",To approve a proposal to adjourn the Special Meeting to a later date or dates.,2025-01-15||63911H||To approve a proposal to adjourn the Special Meeting to a later date or dates.||-1||-1,"Nauticus Robotics, Inc.",,,0,unmatched_left,unmatched
"NAUTICUS ROBOTICS, INC.",To approve the issuance of shares of the Company's common stock pursuant to the Exchange Agreement and the corresponding Certificate of Designations.,2025-01-15||63911H||To approve the issuance of shares of the Company's common stock pursuant to the Exchange Agreement and the corresponding Certificate of Designations.||-1||-1,"Nauticus Robotics, Inc.",,,0,unmatched_left,unmatched
"NAUTICUS ROBOTICS, INC.",To approve the issuance of shares of the Company's common stock pursuant to the November 2024 Debentures.,2025-01-15||63911H||To approve the issuance of shares of the Company's common stock pursuant to the November 2024 Debentures.||-1||-1,"Nauticus Robotics, Inc.",,,0,unmatched_left,unmatched
PAVMED INC.,"Approval of an amendment to the Company's certificate of incorporation, as amended, to increase the total number of shares of common stock the Company is authorized to issue by 200,000,000 shares, from 50,000,000 shares to 250,000,000 shares.","2025-01-15||70387R||Approval of an amendment to the Company's certificate of incorporation, as amended, to increase the total number of shares of common stock the Company is authorized to issue by 200,000,000 shares, from 50,000,000 shares to 250,000,000 shares.||-1||-1",PAVmed Inc.,,,0,unmatched_left,unmatched
PAVMED INC.,Approval of the adjournment of the Special Meeting to the extent there are insufficient votes at the special meeting to approve the foregoing proposals.,2025-01-15||70387R||Approval of the adjournment of the Special Meeting to the extent there are insufficient votes at the special meeting to approve the foregoing proposals.||-1||-1,PAVmed Inc.,,,0,unmatched_left,unmatched
PAVMED INC.,"Approval, for the purposes of Nasdaq Listing Rule 5635, of the issuance of shares of the Company's common stock upon conversion of the Series C Convertible Preferred Stock of the Company, which shares of Series C Preferred Stock are to be issued by the Company under the Exchange Agreement.","2025-01-15||70387R||Approval, for the purposes of Nasdaq Listing Rule 5635, of the issuance of shares of the Company's common stock upon conversion of the Series C Convertible Preferred Stock of the Company, which shares of Series C Preferred Stock are to be issued by the Company under the Exchange Agreement.||-1||-1",PAVmed Inc.,,,0,unmatched_left,unmatched
PAVMED INC.,"Approval, for the purposes of Nasdaq Listing Rule 5635, of the issuance of shares of the Company's common stock upon conversion of the Series C Convertible Preferred Stock of the Company, which shares of Series C Preferred Stock are to be issued by the Company under the Securities Purchase Agreement.","2025-01-15||70387R||Approval, for the purposes of Nasdaq Listing Rule 5635, of the issuance of shares of the Company's common stock upon conversion of the Series C Convertible Preferred Stock of the Company, which shares of Series C Preferred Stock are to be issued by the Company under the Securities Purchase Agreement.||-1||-1",PAVmed Inc.,,,0,unmatched_left,unmatched
PAVMED INC.,,,PAVmed Inc.,Amendment to the 2014 Long-Term Incentive Equity Plan,42066_3,0,unmatched_right,unmatched
PAVMED INC.,,,PAVmed Inc.,Issuance of Common Stock upon Warrant Exchange,42066_2,0,unmatched_right,unmatched
"VIRPAX PHARMACEUTICALS, INC.","To approve an adjournment of the 2025 Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the Reverse Stock Split Proposal and/or the Director Proposal (the ""Adjournment Proposal"" or ""Proposal 3"").","2025-01-15||928251||To approve an adjournment of the 2025 Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the Reverse Stock Split Proposal and/or the Director Proposal (the ""Adjournment Proposal"" or ""Proposal 3"").||-1||-1",Virpax Pharmaceuticals Inc.,Right to Adjourn Meeting,53922_5,0.7,"Both proposals involve the right to adjourn a meeting, indicating a procedural governance theme.",gpt_matched
"VIRPAX PHARMACEUTICALS, INC.","To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, in substantially the form attached to the proxy statement as Annex A, to, at the discretion of the BOD of the Company, effect a reverse stock split with respect to the Company's issued and outstanding common stock, par value $0.00001 per share, including stock held by the Company as treasury shares, at a ratio of 1-for-2 to 1-for-240, with the ratio within such Range to be determined at the discretion of the Board and included in a public announcement.","2025-01-15||928251||To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, in substantially the form attached to the proxy statement as Annex A, to, at the discretion of the BOD of the Company, effect a reverse stock split with respect to the Company's issued and outstanding common stock, par value $0.00001 per share, including stock held by the Company as treasury shares, at a ratio of 1-for-2 to 1-for-240, with the ratio within such Range to be determined at the discretion of the Board and included in a public announcement.||-1||-1",Virpax Pharmaceuticals Inc.,Amendment to the 2022 Equity Incentive Plan,53922_3,0.4,"Both proposals involve amendments related to corporate governance, specifically changes to company structure or plans.",gpt_matched
"VIRPAX PHARMACEUTICALS, INC.",Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Esha Randhawa,2025-01-15||928251||Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Esha Randhawa||-1||-1,Virpax Pharmaceuticals Inc.,,,0,unmatched_left,unmatched
"VIRPAX PHARMACEUTICALS, INC.",Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Jatinder Dhaliwal,2025-01-15||928251||Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Jatinder Dhaliwal||-1||-1,Virpax Pharmaceuticals Inc.,,,0,unmatched_left,unmatched
"VIRPAX PHARMACEUTICALS, INC.",Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Jaydriane Panis,2025-01-15||928251||Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Jaydriane Panis||-1||-1,Virpax Pharmaceuticals Inc.,,,0,unmatched_left,unmatched
"VIRPAX PHARMACEUTICALS, INC.",Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Judy Su,2025-01-15||928251||Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Judy Su||-1||-1,Virpax Pharmaceuticals Inc.,,,0,unmatched_left,unmatched
"VIRPAX PHARMACEUTICALS, INC.",Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Katharyn Field,2025-01-15||928251||Election of Director to hold office until our Annual Meeting of Stockholders to be held in 2025 or their respective successor is duly elected and qualified: Katharyn Field||-1||-1,Virpax Pharmaceuticals Inc.,,,0,unmatched_left,unmatched
"VIRPAX PHARMACEUTICALS, INC.",,,Virpax Pharmaceuticals Inc.,Elect Eric Floyd,53922_1.02,0,unmatched_right,unmatched
"VIRPAX PHARMACEUTICALS, INC.",,,Virpax Pharmaceuticals Inc.,Amendment to the 2022 Plan Evergreen Increase Proposal,53922_4,0,unmatched_right,unmatched
"VIRPAX PHARMACEUTICALS, INC.",,,Virpax Pharmaceuticals Inc.,Ratification of Auditor,53922_2,0,unmatched_right,unmatched
"SCORPIUS HOLDINGS, INC.","The Company seeks approval to amend its Third Amended and Restated Certificate of Incorporation, as outlined in Appendix A of the proxy statement. The amendment would authorize the Board of Directors to execute a reverse stock split of Common Stock (par value $0.0002 per share), including treasury shares, at a ratio between 1-for-5 and 1-for-35. The exact ratio will be determined and announced by the Board, which also reserves the right to abandon the proposal if necessary. This is termed the ""Reverse Stock Split Proposal.""","2025-01-16||42237K||The Company seeks approval to amend its Third Amended and Restated Certificate of Incorporation, as outlined in Appendix A of the proxy statement. The amendment would authorize the Board of Directors to execute a reverse stock split of Common Stock (par value $0.0002 per share), including treasury shares, at a ratio between 1-for-5 and 1-for-35. The exact ratio will be determined and announced by the Board, which also reserves the right to abandon the proposal if necessary. This is termed the ""Reverse Stock Split Proposal.""||-1||-1",Scorpius Holdings Inc.,Reverse Stock Split,27689_4,0.9,"Both proposals involve a reverse stock split, making them directly related.",gpt_matched
"SCORPIUS HOLDINGS, INC.","To approve an adjournment of the Special Meeting of Stockholders to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the Reverse Stock Split Proposal or the Share Issuance Proposal.","2025-01-16||42237K||To approve an adjournment of the Special Meeting of Stockholders to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the Reverse Stock Split Proposal or the Share Issuance Proposal.||-1||-1",Scorpius Holdings Inc.,Right to Adjourn Meeting,27689_6,0.7,"Both proposals pertain to the right to adjourn a meeting, indicating procedural similarities.",gpt_matched
"SCORPIUS HOLDINGS, INC.","To approve, for purposes of complying with the NYSE American LLC listing rules, of the issuance of 20% or more of the Company's issued and outstanding Common Stock as of December 5, 2024 pursuant to a securities purchase agreement with the purchasers named therein (the ""Investors""), dated December 5, 2024, including upon the conversion of the senior secured convertible notes issued pursuant to the Purchase Agreement and the exercise of warrants issued or issuable pursuant to the Purchase Agreement (the ""Share Issuance Proposal"").","2025-01-16||42237K||To approve, for purposes of complying with the NYSE American LLC listing rules, of the issuance of 20% or more of the Company's issued and outstanding Common Stock as of December 5, 2024 pursuant to a securities purchase agreement with the purchasers named therein (the ""Investors""), dated December 5, 2024, including upon the conversion of the senior secured convertible notes issued pursuant to the Purchase Agreement and the exercise of warrants issued or issuable pursuant to the Purchase Agreement (the ""Share Issuance Proposal"").||-1||-1",Scorpius Holdings Inc.,Issuance of Common Stock,27689_5,0.8,"Both proposals involve the issuance of common stock, aligning them in terms of subject matter.",gpt_matched
"SCORPIUS HOLDINGS, INC.",,,Scorpius Holdings Inc.,Amendment to the 2018 Stock Incentive Plan,27689_3,0,unmatched_right,unmatched
"SCORPIUS HOLDINGS, INC.",,,Scorpius Holdings Inc.,Elect Jeffrey Wolf,27689_1.01,0,unmatched_right,unmatched
"SCORPIUS HOLDINGS, INC.",,,Scorpius Holdings Inc.,"Elect Edward B. Smith, III",27689_1.03,0,unmatched_right,unmatched
"SCORPIUS HOLDINGS, INC.",,,Scorpius Holdings Inc.,Elect John Monahan,27689_1.02,0,unmatched_right,unmatched
"SCORPIUS HOLDINGS, INC.",,,Scorpius Holdings Inc.,Elect John K.A. Prendergast,27689_1.04,0,unmatched_right,unmatched
"OCEAN POWER TECHNOLOGIES, INC.","To approve an amendment to our Certificate of Incorporation to increase the number of authorized shares of common stock, par value $.001 per share (the ""Common Stock""), from 200,000,000 to 300,000,000.","2025-04-30||674870||To approve an amendment to our Certificate of Incorporation to increase the number of authorized shares of common stock, par value $.001 per share (the ""Common Stock""), from 200,000,000 to 300,000,000.||-1||-1",Ocean Power Technologies Inc.,Increase in Authorized Common Stock,5308_1,0.9,Both proposals involve increasing the number of authorized shares of common stock.,gpt_matched
"OCEAN POWER TECHNOLOGIES, INC.",Electing Terence J. Cryan as director,2025-01-16||674870||01||Terence J. Cryan,Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.",Electing Philipp Stratmann as director,2025-01-16||674870||02||Philipp Stratmann,Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.",Electing Clyde W. Hewlett as director,2025-01-16||674870||03||Clyde W. Hewlett,Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.",Electing Diana G. Purcel as director,2025-01-16||674870||04||Diana G. Purcel,Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.",Electing Peter E. Slaiby as director,2025-01-16||674870||05||Peter E. Slaiby,Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.","To approve the Amended and Restated 2015 Omnibus Incentive Plan (the ""2015 Plan"").","2025-01-16||674870||To approve the Amended and Restated 2015 Omnibus Incentive Plan (the ""2015 Plan"").||-1||-1",Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.","To approve, by a non-binding advisory vote, the compensation of OPT's named executive officers.","2025-01-16||674870||To approve, by a non-binding advisory vote, the compensation of OPT's named executive officers.||-1||-1",Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.","To consider and take action on the ratification of the selection of Moss Adams LLP as our independent registered public accounting firm for fiscal year ending April 30, 2025.","2025-01-16||674870||To consider and take action on the ratification of the selection of Moss Adams LLP as our independent registered public accounting firm for fiscal year ending April 30, 2025.||-1||-1",Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.","To approve an adjournment of the Special Meeting from time to time, if necessary or appropriate (as determined in good faith by the Board of Directors or a committee thereof), to solicit additional proxies if there are not sufficient votes in favor of the charter amendment proposal.","2025-04-30||674870||To approve an adjournment of the Special Meeting from time to time, if necessary or appropriate (as determined in good faith by the Board of Directors or a committee thereof), to solicit additional proxies if there are not sufficient votes in favor of the charter amendment proposal.||-1||-1",Ocean Power Technologies Inc.,,,0,unmatched_left,unmatched
"OCEAN POWER TECHNOLOGIES, INC.",,,Ocean Power Technologies Inc.,Increase in Authorized Common Stock,5308_1,0,unmatched_right,unmatched
"ENVERIC BIOSCIENCES, INC.","To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended (the ""Charter""), to, at the discretion of the Board of Directors of the Company, effect a reverse stock split with respect to the Company's issued and outstanding common stock, par value $0.01 per share, including stock held by the Company as treasury shares, at a ratio of 1-for-10 to 1-for-100 (""Range""), with the ratio within such Range to be determined at the discretion of the Board (the ""Reverse Stock Split Proposal"").","2025-01-17||29405E||To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended (the ""Charter""), to, at the discretion of the Board of Directors of the Company, effect a reverse stock split with respect to the Company's issued and outstanding common stock, par value $0.01 per share, including stock held by the Company as treasury shares, at a ratio of 1-for-10 to 1-for-100 (""Range""), with the ratio within such Range to be determined at the discretion of the Board (the ""Reverse Stock Split Proposal"").||-1||-1",Enveric Biosciences Inc.,Reverse Stock Split,40570_1,0.9,"Both proposals involve a reverse stock split, making them directly related in terms of corporate actions.",gpt_matched
"ENVERIC BIOSCIENCES, INC.","To approve an adjournment of the Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the Reverse Stock Split Proposal (the ""Adjournment Proposal"").","2025-01-17||29405E||To approve an adjournment of the Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event there are not sufficient votes in favor of the Reverse Stock Split Proposal (the ""Adjournment Proposal"").||-1||-1",Enveric Biosciences Inc.,,,0,unmatched_left,unmatched
"ENVERIC BIOSCIENCES, INC.",,,Enveric Biosciences Inc.,Elect George Kegler,40570_1.02,0,unmatched_right,unmatched
"ENVERIC BIOSCIENCES, INC.",,,Enveric Biosciences Inc.,Elect Frank Pasqualone,40570_1.03,0,unmatched_right,unmatched
"ENVERIC BIOSCIENCES, INC.",,,Enveric Biosciences Inc.,Elect Michael D. Webb,40570_1.01,0,unmatched_right,unmatched
"REVELATION BIOSCIENCES, INC.",Approve the change of domicile of the Company from the State of Delaware to the State of Nevada.,2025-01-17||76135L||Approve the change of domicile of the Company from the State of Delaware to the State of Nevada.||-1||-1,Revelation Biosciences Inc.,Domicile Change from State of Delaware to the State of Nevada,53697_7,0.9,Both proposals involve a change of domicile from Delaware to Nevada.,gpt_matched
"REVELATION BIOSCIENCES, INC.","Approval of the adjournment of the Special Meeting of the Stockholders (the ""Special Meeting"") to the extent there are insufficient proxies at the Special Meeting to approve the Reverse Stock Split.","2025-01-17||76135L||Approval of the adjournment of the Special Meeting of the Stockholders (the ""Special Meeting"") to the extent there are insufficient proxies at the Special Meeting to approve the Reverse Stock Split.||-1||-1",Revelation Biosciences Inc.,Advisory Vote on Executive Compensation,53697_3,0.4,"The adjournment proposal relates to ensuring sufficient proxies, which is a governance issue similar to the advisory vote on executive compensation.",gpt_matched
"REVELATION BIOSCIENCES, INC.",Amend the Company's amended and restated certificate of incorporation to effect the reverse stock split.,2025-01-17||76135L||Amend the Company's amended and restated certificate of incorporation to effect the reverse stock split.||-1||-1,Revelation Biosciences Inc.,,,0,unmatched_left,unmatched
"REVELATION BIOSCIENCES, INC.","Approve the reservation and issuance of shares of our common stock pursuant to Class F Common Stock Warrants and Class G Common Stock Warrants (the ""Warrants""), dated December 3, 2024, entered into between us and certain purchasers in connection with a warrant inducement letter dated the same date, to the extent that issuances under the Warrants may exceed 20% of the Company's total outstanding shares, which could trigger the share issuance cap under Rule 5635(d) of the Nasdaq Stock Market Rules (the ""Exchange Cap"").","2025-01-17||76135L||Approve the reservation and issuance of shares of our common stock pursuant to Class F Common Stock Warrants and Class G Common Stock Warrants (the ""Warrants""), dated December 3, 2024, entered into between us and certain purchasers in connection with a warrant inducement letter dated the same date, to the extent that issuances under the Warrants may exceed 20% of the Company's total outstanding shares, which could trigger the share issuance cap under Rule 5635(d) of the Nasdaq Stock Market Rules (the ""Exchange Cap"").||-1||-1",Revelation Biosciences Inc.,,,0,unmatched_left,unmatched
"REVELATION BIOSCIENCES, INC.",,,Revelation Biosciences Inc.,Amendment to the 2021 Equity Incentive Plan,53697_2,0,unmatched_right,unmatched
"REVELATION BIOSCIENCES, INC.",,,Revelation Biosciences Inc.,Elect Lakhmir Chawla,53697_1.01,0,unmatched_right,unmatched
"REVELATION BIOSCIENCES, INC.",,,Revelation Biosciences Inc.,Ratification of Auditor,53697_8,0,unmatched_right,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: John C. Plant,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: John C. Plant||-1||-1,Jabil Inc,Elect Director John C. Plant,947_1e,0.9,Both proposals involve the election of Director John C. Plant.,gpt_matched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Steven A. Raymund,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Steven A. Raymund||-1||-1,Jabil Inc,Elect Director Steven A. Raymund,947_1f,0.9,Both proposals involve the election of Director Steven A. Raymund.,gpt_matched
JABIL INC.,Approve (on an advisory basis) Jabil's executive compensation.,2025-01-23||466313||Approve (on an advisory basis) Jabil's executive compensation.||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Anousheh Ansari,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Anousheh Ansari||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Christopher S. Holland,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Christopher S. Holland||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: James Siminoff,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: James Siminoff||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Kathleen A. Walters,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Kathleen A. Walters||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Mark T. Mondello,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Mark T. Mondello||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Michael Dastoor,2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: Michael Dastoor||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,"Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: N.V. ""Tiger"" Tyagarajan","2025-01-23||466313||Election of Director to serve until the next annual meeting of stockholders or until their respective successors are duly elected and qualified: N.V. ""Tiger"" Tyagarajan||-1||-1",Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,"Ratify the appointment of Ernst & Young LLP as Jabil's independent registered public accounting firm for the fiscal year ending August 31, 2025.","2025-01-23||466313||Ratify the appointment of Ernst & Young LLP as Jabil's independent registered public accounting firm for the fiscal year ending August 31, 2025.||-1||-1",Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Vote on a stockholder proposal requesting director election resignation governance guidelines.,2025-01-23||466313||Vote on a stockholder proposal requesting director election resignation governance guidelines.||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
JABIL INC.,Vote on a stockholder proposal requesting that the Board adopt a policy to seek stockholder approval of certain termination pay arrangements.,2025-01-23||466313||Vote on a stockholder proposal requesting that the Board adopt a policy to seek stockholder approval of certain termination pay arrangements.||-1||-1,Jabil Inc,,,0,unmatched_left,unmatched
RUNWAY GROWTH FINANCE CORP.,Electing Catherine Frey as director,2025-01-23||78163D||01||Catherine Frey,Runway Growth Finance Corp.,Elect R. David Spreng,53777_1.01,0.8,"Both proposals involve the election of directors, making them directly comparable in terms of governance.",gpt_matched
RUNWAY GROWTH FINANCE CORP.,"To approve a new investment management agreement (the ""New Advisory Agreement"") between the Company and Runway Growth Capital LLC (the ""Adviser"") (the ""New Advisory Agreement Proposal"").","2025-01-23||78163D||To approve a new investment management agreement (the ""New Advisory Agreement"") between the Company and Runway Growth Capital LLC (the ""Adviser"") (the ""New Advisory Agreement Proposal"").||-1||-1",Runway Growth Finance Corp.,,,0,unmatched_left,unmatched
RUNWAY GROWTH FINANCE CORP.,"To approve the adjournment of the Special Meeting, if necessary or appropriate, to solicit additional proxies if there are insufficient votes at the time of the Special Meeting to approve the New Advisory Agreement (the ""Adjournment Proposal"").","2025-01-23||78163D||To approve the adjournment of the Special Meeting, if necessary or appropriate, to solicit additional proxies if there are insufficient votes at the time of the Special Meeting to approve the New Advisory Agreement (the ""Adjournment Proposal"").||-1||-1",Runway Growth Finance Corp.,,,0,unmatched_left,unmatched
"FORTE BIOSCIENCES, INC.",The approval of an amended and restated 2021 Equity Incentive Plan.,2025-01-24||34962G||The approval of an amended and restated 2021 Equity Incentive Plan.||-1||-1,"Forte Biosciences, Inc.",Amendment to the 2021 Equity Incentive Plan,38323_1,0.9,"Both proposals pertain to the 2021 Equity Incentive Plan, indicating a direct relationship in terms of compensation and plan amendments.",gpt_matched
"FORTE BIOSCIENCES, INC.",,,"Forte Biosciences, Inc.",Elect Stephen K. Doberstein,38323_1.03,0,unmatched_right,unmatched
"FORTE BIOSCIENCES, INC.",,,"Forte Biosciences, Inc.",Elect Donald A. Williams,38323_1.02,0,unmatched_right,unmatched
"FORTE BIOSCIENCES, INC.",,,"Forte Biosciences, Inc.",Elect David W. Gryska,38323_1.03,0,unmatched_right,unmatched
THE SCOTTS MIRACLE-GRO COMPANY,"Approval, on an advisory basis, of the compensation of the Company's named executive officers.","2025-01-27||810186||Approval, on an advisory basis, of the compensation of the Company's named executive officers.||-1||-1",The Scotts Miracle-Gro Company,Advisory Vote to Ratify Named Executive Officers' Compensation,1167_2,0.9,"Both proposals relate to the advisory vote on the compensation of named executive officers, indicating a direct match in topic and type.",gpt_matched
THE SCOTTS MIRACLE-GRO COMPANY,Approval of an amendment and restatement of The Scotts Miracle-Gro Company Discounted Stock Purchase Plan to increase the maximum number of common shares available for grant to participants.,2025-01-27||810186||Approval of an amendment and restatement of The Scotts Miracle-Gro Company Discounted Stock Purchase Plan to increase the maximum number of common shares available for grant to participants.||-1||-1,The Scotts Miracle-Gro Company,,,0,unmatched_left,unmatched
THE SCOTTS MIRACLE-GRO COMPANY,Election of Director to serve for a term of three years to expire at the 2028 Annual Meeting of Shareholders: Adam Hanft,2025-01-27||810186||Election of Director to serve for a term of three years to expire at the 2028 Annual Meeting of Shareholders: Adam Hanft||-1||-1,The Scotts Miracle-Gro Company,,,0,unmatched_left,unmatched
